,date,open,high,close,low,volume,turnover,alt,itl
24,2017/9/12,5.48,5.75,5.33,5.3,715830.31,7.53,0.0175202156334,1
25,2017/9/11,5.45,5.7,5.53,5.35,752149.06,7.91,0.00935828877005,1
26,2017/9/8,4.89,5.39,5.39,4.87,645502.5,6.79,0.0147651006711,-1
27,2017/9/7,4.9,4.94,4.9,4.88,97443.51,1.02,0.0133689839572,-1
28,2017/9/6,4.86,4.91,4.9,4.84,83135.19,0.87,0.0338753387534,-1
29,2017/9/5,4.86,4.88,4.87,4.85,75551.33,0.79,0.0177838577291,-1
30,2017/9/4,4.87,4.89,4.86,4.85,58185.25,0.61,0.0205479452055,1
31,2017/9/1,4.89,4.89,4.87,4.85,45271.9,0.48,0.0122116689281,1
32,2017/8/31,4.89,4.91,4.89,4.85,51920.09,0.55,0.0312925170068,1
33,2017/8/30,4.92,4.95,4.89,4.88,88334.24,0.93,0.0134408602151,-1
34,2017/8/29,4.88,4.91,4.89,4.86,70120.84,0.74,0.0246238030096,-1
35,2017/8/28,4.86,4.89,4.88,4.83,90392.45,0.95,0.0322580645161,1
36,2017/8/25,4.81,4.87,4.87,4.76,88463.24,0.93,0.0120320855615,1
37,2017/8/24,4.84,5.05,4.87,4.84,157380.48,1.65,0.0106666666667,-1
38,2017/8/23,4.83,4.85,4.81,4.79,37169.5,0.39,0.016,1
39,2017/8/22,4.89,4.89,4.83,4.82,47945.4,0.5,0.0252324037185,-1
40,2017/8/21,4.86,4.9,4.89,4.85,58059.12,0.61,0.014745308311,-1
41,2017/8/18,4.84,4.88,4.87,4.8,51924.27,0.55,0.0160427807487,1
42,2017/8/17,4.83,4.87,4.86,4.81,58917.47,0.62,0.0146276595745,-1
43,2017/8/16,4.81,4.84,4.82,4.76,42034.03,0.44,0.0132978723404,1
44,2017/8/15,4.8,4.83,4.81,4.78,40159.28,0.42,0.0159362549801,1
45,2017/8/14,4.75,4.84,4.8,4.75,46641.16,0.49,0.016,-1
46,2017/8/11,4.82,4.83,4.76,4.75,55722.97,0.59,0.025641025641,1
47,2017/8/10,4.89,4.9,4.83,4.8,48505.31,0.51,0.0265604249668,1
48,2017/8/9,4.89,4.9,4.88,4.86,33257.63,0.35,0.0267737617135,-1
49,2017/8/8,4.89,4.91,4.88,4.87,36956.47,0.39,0.0148648648649,-1
50,2017/8/7,4.9,4.93,4.89,4.88,34670.31,0.36,0.00944669365722,1
51,2017/8/4,4.93,4.94,4.9,4.89,51589.0,0.54,0.0360610263523,-1
52,2017/8/3,4.93,4.97,4.94,4.91,54536.1,0.57,0.0168539325843,1
53,2017/8/2,4.95,5.04,4.93,4.92,63133.0,0.66,0.0125523012552,-1
54,2017/8/1,4.93,5.02,4.96,4.91,73435.6,0.77,0.0125523012552,1
55,2017/7/31,4.93,4.94,4.94,4.89,38528.16,0.41,0.0139470013947,-1
56,2017/7/28,4.94,4.95,4.93,4.9,38456.59,0.4,0.018156424581,1
57,2017/7/27,4.9,4.96,4.95,4.8,75032.14,0.79,0.0602055800294,-1
58,2017/7/26,4.86,5.06,4.94,4.81,87888.06,0.92,0.0344311377246,1
59,2017/7/25,4.93,4.93,4.86,4.84,34170.52,0.36,0.0252976190476,-1
60,2017/7/24,4.94,4.94,4.92,4.9,29511.9,0.31,0.0222882615156,1
61,2017/7/21,4.96,4.96,4.91,4.9,36498.0,0.38,0.024926686217,1
62,2017/7/20,4.88,4.96,4.92,4.88,49759.11,0.52,0.0159189580318,1
63,2017/7/19,4.81,4.88,4.88,4.77,44493.36,0.47,0.0145772594752,-1
64,2017/7/18,4.74,4.82,4.81,4.72,46282.24,0.49,0.0289855072464,1
65,2017/7/17,5.04,5.05,4.73,4.72,111909.33,1.18,0.0201729106628,1
66,2017/7/14,5.15,5.15,5.09,5.07,52644.77,0.55,0.0204379562044,-1
67,2017/7/13,5.14,5.16,5.15,5.11,46632.57,0.49,0.0238450074516,1
68,2017/7/12,5.19,5.23,5.14,5.08,109357.0,1.15,0.00877192982456,-1
69,2017/7/11,5.22,5.4,5.27,5.19,148207.16,1.56,0.01317715959,-1
70,2017/7/10,5.2,5.22,5.22,5.17,59421.53,0.62,0.0133333333333,-1
71,2017/7/7,5.17,5.21,5.19,5.15,45874.26,0.48,0.00740740740741,-1
72,2017/7/6,5.21,5.22,5.18,5.17,54267.6,0.57,0.0118343195266,1
73,2017/7/5,5.18,5.23,5.21,5.16,43677.99,0.46,0.0470588235294,1
74,2017/7/4,5.26,5.27,5.17,5.16,80338.77,0.84,0.0202898550725,-1
75,2017/7/3,5.25,5.27,5.26,5.23,32835.97,0.35,0.02886002886,1
76,2017/6/30,5.25,5.28,5.24,5.22,25352.77,0.27,0.0230215827338,1
77,2017/6/29,5.22,5.3,5.25,5.21,29376.68,0.31,0.00998573466476,-1
78,2017/6/28,5.28,5.28,5.23,5.21,39284.3,0.41,0.0218658892128,-1
79,2017/6/27,5.31,5.33,5.28,5.26,42828.08,0.45,0.0162481536189,-1
80,2017/6/26,5.28,5.32,5.31,5.24,51338.03,0.54,0.0209580838323,-1
81,2017/6/23,5.27,5.33,5.27,5.19,70122.69,0.74,0.0962479608483,-1
82,2017/6/22,5.39,5.51,5.33,5.33,112214.21,1.18,0.0349206349206,1
83,2017/6/21,5.46,5.46,5.38,5.34,75313.1,0.79,0.0689127105666,-1
84,2017/6/20,5.41,5.54,5.45,5.35,119220.76,1.25,0.0249221183801,-1
85,2017/6/19,5.33,5.49,5.45,5.32,166752.48,1.75,0.0139534883721,-1
86,2017/6/16,5.29,5.34,5.33,5.28,62632.05,0.66,0.0123266563945,1
87,2017/6/15,5.22,5.35,5.3,5.2,74598.33,0.78,0.00615384615385,-1
88,2017/6/14,5.29,5.29,5.21,5.2,49581.91,0.52,0.00927357032458,-1
89,2017/6/13,5.12,5.27,5.26,5.11,55737.86,0.59,0.00613496932515,1
90,2017/6/12,5.24,5.28,5.14,5.13,60273.95,0.63,0.0540145985401,1
91,2017/6/9,5.3,5.34,5.3,5.23,68483.52,0.72,0.0107692307692,-1
92,2017/6/8,5.28,5.35,5.28,5.24,71044.01,0.75,0.0107858243451,1
93,2017/6/7,5.15,5.4,5.28,5.13,99245.33,1.04,0.0199386503067,1
